HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Date,Season
Swansea,West Ham,A,2.63,1.77,26/12/16,2016
Watford,Crystal Palace,D,2.5,2.03,26/12/16,2016
Liverpool,Stoke,H,1.3,1.5,27/12/16,2016
Southampton,Tottenham,A,2.8,2.13,28/12/16,2016
Hull,Everton,D,4.33,2.02,30/12/16,2016
Burnley,Sunderland,H,2.4,2.25,31/12/16,2016
Chelsea,Stoke,H,1.25,1.63,31/12/16,2016
Leicester,West Ham,H,2.1,1.83,31/12/16,2016
Liverpool,Man City,H,2.35,1.63,31/12/16,2016
Man United,Middlesbrough,H,1.25,1.89,31/12/16,2016
Southampton,West Brom,A,1.75,2.33,31/12/16,2016
Swansea,Bournemouth,A,2.9,1.76,31/12/16,2016
Arsenal,Crystal Palace,H,1.29,1.53,01/01/17,2016
Watford,Tottenham,A,5.5,1.95,01/01/17,2016
Everton,Southampton,H,2.2,2.16,02/01/17,2016
Man City,Burnley,H,1.17,1.42,02/01/17,2016
Middlesbrough,Leicester,D,2.75,2.46,02/01/17,2016
Sunderland,Liverpool,D,11.0,1.62,02/01/17,2016
West Brom,Hull,H,1.75,2.21,02/01/17,2016
West Ham,Man United,A,6.0,1.81,02/01/17,2016
Bournemouth,Arsenal,D,4.33,1.75,03/01/17,2016
Crystal Palace,Swansea,A,1.75,1.96,03/01/17,2016
Stoke,Watford,H,1.8,2.1,03/01/17,2016
Tottenham,Chelsea,H,2.63,1.92,04/01/17,2016
Burnley,Southampton,H,3.6,2.33,14/01/17,2016
Hull,Bournemouth,H,3.3,1.85,14/01/17,2016
Leicester,Chelsea,A,6.0,1.88,14/01/17,2016
Sunderland,Stoke,A,3.1,1.96,14/01/17,2016
Swansea,Arsenal,A,7.0,1.56,14/01/17,2016
Tottenham,West Brom,H,1.33,1.81,14/01/17,2016
Watford,Middlesbrough,D,2.5,2.55,14/01/17,2016
West Ham,Crystal Palace,H,2.38,1.97,14/01/17,2016
Everton,Man City,H,4.5,1.74,15/01/17,2016
Man United,Liverpool,D,2.15,1.95,15/01/17,2016
Bournemouth,Watford,D,1.83,1.95,21/01/17,2016
Crystal Palace,Everton,A,3.25,1.99,21/01/17,2016
Liverpool,Swansea,A,1.22,1.41,21/01/17,2016
Man City,Tottenham,D,2.15,1.8,21/01/17,2016
Middlesbrough,West Ham,A,2.5,2.32,21/01/17,2016
Stoke,Man United,D,6.0,1.91,21/01/17,2016
West Brom,Sunderland,H,1.7,2.0,21/01/17,2016
Arsenal,Burnley,H,1.2,1.47,22/01/17,2016
Chelsea,Hull,H,1.18,1.52,22/01/17,2016
Southampton,Leicester,H,1.83,2.27,22/01/17,2016
Arsenal,Watford,A,1.22,1.51,31/01/17,2016
Bournemouth,Crystal Palace,A,2.05,1.88,31/01/17,2016
Burnley,Leicester,H,2.9,2.21,31/01/17,2016
Liverpool,Chelsea,D,2.65,2.02,31/01/17,2016
Middlesbrough,West Brom,D,2.7,2.67,31/01/17,2016
Sunderland,Tottenham,D,9.5,1.58,31/01/17,2016
Swansea,Southampton,H,3.4,2.05,31/01/17,2016
Man United,Hull,D,1.2,2.29,01/02/17,2016
Stoke,Everton,D,2.88,2.0,01/02/17,2016
West Ham,Man City,A,6.0,1.57,01/02/17,2016
Chelsea,Arsenal,H,1.95,1.87,04/02/17,2016
Crystal Palace,Sunderland,A,1.7,1.97,04/02/17,2016
Everton,Bournemouth,H,1.7,1.8,04/02/17,2016
Hull,Liverpool,H,8.0,1.72,04/02/17,2016
Southampton,West Ham,A,1.85,1.99,04/02/17,2016
Tottenham,Middlesbrough,H,1.29,1.76,04/02/17,2016
Watford,Burnley,H,2.15,2.36,04/02/17,2016
West Brom,Stoke,H,2.3,2.24,04/02/17,2016
Leicester,Man United,A,5.75,2.05,05/02/17,2016
Man City,Swansea,H,1.22,1.39,05/02/17,2016
Arsenal,Hull,H,1.29,1.51,11/02/17,2016
Liverpool,Tottenham,H,2.3,1.91,11/02/17,2016
Man United,Watford,H,1.25,1.66,11/02/17,2016
Middlesbrough,Everton,D,3.9,2.31,11/02/17,2016
Stoke,Crystal Palace,H,2.15,2.07,11/02/17,2016
Sunderland,Southampton,A,3.9,2.06,11/02/17,2016
West Ham,West Brom,D,2.25,2.05,11/02/17,2016
Burnley,Chelsea,D,9.0,1.91,12/02/17,2016
Swansea,Leicester,H,2.4,2.01,12/02/17,2016
Bournemouth,Man City,A,7.5,1.52,13/02/17,2016
Chelsea,Swansea,H,1.25,1.61,25/02/17,2016
Crystal Palace,Middlesbrough,H,2.1,2.68,25/02/17,2016
Everton,Sunderland,H,1.4,1.63,25/02/17,2016
Hull,Burnley,D,2.15,2.3,25/02/17,2016
Watford,West Ham,D,2.63,2.0,25/02/17,2016
West Brom,Bournemouth,H,2.1,2.01,25/02/17,2016
Tottenham,Stoke,H,1.44,1.65,26/02/17,2016
Leicester,Liverpool,H,5.5,1.76,27/02/17,2016
Leicester,Hull,H,1.85,2.05,04/03/17,2016
Liverpool,Arsenal,H,2.15,1.71,04/03/17,2016
Man United,Bournemouth,D,1.25,1.57,04/03/17,2016
Stoke,Middlesbrough,H,1.95,2.38,04/03/17,2016
Swansea,Burnley,H,2.0,2.16,04/03/17,2016
Watford,Southampton,A,3.6,2.25,04/03/17,2016
West Brom,Crystal Palace,A,2.2,2.37,04/03/17,2016
Sunderland,Man City,A,11.0,1.46,05/03/17,2016
Tottenham,Everton,H,1.67,1.76,05/03/17,2016
West Ham,Chelsea,A,6.0,1.83,06/03/17,2016
Man City,Stoke,D,1.25,1.44,08/03/17,2016
Bournemouth,West Ham,H,2.6,1.72,11/03/17,2016
Everton,West Brom,H,1.67,2.02,11/03/17,2016
Hull,Swansea,H,2.55,2.04,11/03/17,2016
Liverpool,Burnley,H,1.25,1.54,12/03/17,2016
Bournemouth,Swansea,H,2.15,1.72,18/03/17,2016
Crystal Palace,Watford,H,1.91,2.16,18/03/17,2016
Everton,Hull,H,1.53,1.8,18/03/17,2016
Stoke,Chelsea,A,6.5,2.01,18/03/17,2016
Sunderland,Burnley,D,2.55,2.15,18/03/17,2016
West Brom,Arsenal,H,5.25,1.78,18/03/17,2016
West Ham,Leicester,A,2.3,1.8,18/03/17,2016
Man City,Liverpool,D,2.0,1.65,19/03/17,2016
Middlesbrough,Man United,A,6.0,2.18,19/03/17,2016
Tottenham,Southampton,H,1.73,1.88,19/03/17,2016
Burnley,Tottenham,A,5.75,2.01,01/04/17,2016
Chelsea,Crystal Palace,A,1.3,1.81,01/04/17,2016
Hull,West Ham,H,2.45,1.83,01/04/17,2016
Leicester,Stoke,H,2.05,1.96,01/04/17,2016
Liverpool,Everton,H,1.73,1.73,01/04/17,2016
Man United,West Brom,D,1.36,1.85,01/04/17,2016
Southampton,Bournemouth,D,1.65,1.73,01/04/17,2016
Watford,Sunderland,H,1.85,2.04,01/04/17,2016
Arsenal,Man City,D,3.1,1.58,02/04/17,2016
Swansea,Middlesbrough,D,2.0,2.17,02/04/17,2016
Burnley,Stoke,H,2.5,2.36,04/04/17,2016
Leicester,Sunderland,H,1.45,1.76,04/04/17,2016
Man United,Everton,D,1.57,1.88,04/04/17,2016
Watford,West Brom,H,2.5,2.31,04/04/17,2016
Arsenal,West Ham,H,1.4,1.42,05/04/17,2016
Chelsea,Man City,H,2.4,1.74,05/04/17,2016
Hull,Middlesbrough,H,2.05,2.36,05/04/17,2016
Liverpool,Bournemouth,D,1.36,1.48,05/04/17,2016
Southampton,Crystal Palace,H,1.83,2.05,05/04/17,2016
Swansea,Tottenham,A,5.0,1.82,05/04/17,2016
Bournemouth,Chelsea,A,6.5,1.8,08/04/17,2016
Man City,Hull,H,1.2,1.4,08/04/17,2016
Middlesbrough,Burnley,D,2.45,2.42,08/04/17,2016
Stoke,Liverpool,A,4.0,1.85,08/04/17,2016
Tottenham,Watford,H,1.25,1.58,08/04/17,2016
West Brom,Southampton,A,3.0,2.23,08/04/17,2016
West Ham,Swansea,H,2.1,1.79,08/04/17,2016
Everton,Leicester,H,1.75,1.79,09/04/17,2016
Sunderland,Man United,A,10.0,1.75,09/04/17,2016
Crystal Palace,Arsenal,H,4.5,1.64,10/04/17,2016
Crystal Palace,Leicester,D,1.73,1.96,15/04/17,2016
Everton,Burnley,H,1.4,1.83,15/04/17,2016
Southampton,Man City,A,4.33,1.64,15/04/17,2016
Stoke,Hull,H,1.95,2.08,15/04/17,2016
Sunderland,West Ham,D,3.3,1.8,15/04/17,2016
Tottenham,Bournemouth,H,1.25,1.42,15/04/17,2016
Watford,Swansea,H,2.4,2.07,15/04/17,2016
Man United,Chelsea,H,2.55,2.24,16/04/17,2016
West Brom,Liverpool,A,4.0,1.92,16/04/17,2016
Middlesbrough,Arsenal,A,7.0,1.71,17/04/17,2016
Bournemouth,Middlesbrough,H,1.85,1.86,22/04/17,2016
Hull,Watford,H,1.91,1.99,22/04/17,2016
Swansea,Stoke,H,2.2,2.06,22/04/17,2016
West Ham,Everton,D,3.3,1.69,22/04/17,2016
Burnley,Man United,A,5.75,2.15,23/04/17,2016
Liverpool,Crystal Palace,A,1.5,1.64,23/04/17,2016
Chelsea,Southampton,H,1.45,1.78,25/04/17,2016
Arsenal,Leicester,H,1.6,1.45,26/04/17,2016
Crystal Palace,Tottenham,A,5.5,1.62,26/04/17,2016
Middlesbrough,Sunderland,H,2.3,2.04,26/04/17,2016
Man City,Man United,D,1.91,1.8,27/04/17,2016
Crystal Palace,Burnley,A,1.75,2.09,29/04/17,2016
Southampton,Hull,D,1.6,1.79,29/04/17,2016
Stoke,West Ham,D,2.0,1.87,29/04/17,2016
Sunderland,Bournemouth,A,3.0,1.72,29/04/17,2016
West Brom,Leicester,A,2.4,2.0,29/04/17,2016
Everton,Chelsea,A,3.5,1.83,30/04/17,2016
Man United,Swansea,D,1.36,1.78,30/04/17,2016
Middlesbrough,Man City,D,13.0,1.5,30/04/17,2016
Tottenham,Arsenal,H,1.85,1.54,30/04/17,2016
Watford,Liverpool,A,5.75,1.67,01/05/17,2016
West Ham,Tottenham,H,8.5,1.61,05/05/17,2016
Bournemouth,Stoke,D,2.25,1.73,06/05/17,2016
Burnley,West Brom,D,2.25,2.44,06/05/17,2016
Hull,Sunderland,A,1.44,1.77,06/05/17,2016
Leicester,Watford,H,1.57,1.81,06/05/17,2016
Man City,Crystal Palace,H,1.29,1.35,06/05/17,2016
Swansea,Everton,H,2.8,1.86,06/05/17,2016
Arsenal,Man United,H,1.91,1.85,07/05/17,2016
Liverpool,Southampton,D,1.62,1.66,07/05/17,2016
Chelsea,Middlesbrough,H,1.17,1.49,08/05/17,2016
Southampton,Arsenal,A,3.6,1.68,10/05/17,2016
Everton,Watford,H,1.5,1.72,12/05/17,2016
West Brom,Chelsea,A,10.0,1.83,12/05/17,2016
Bournemouth,Burnley,H,1.91,1.76,13/05/17,2016
Man City,Leicester,H,1.25,1.35,13/05/17,2016
Middlesbrough,Southampton,A,4.0,1.96,13/05/17,2016
Stoke,Arsenal,A,4.75,1.6,13/05/17,2016
Sunderland,Swansea,A,4.2,1.85,13/05/17,2016
Crystal Palace,Hull,H,2.1,1.95,14/05/17,2016
Tottenham,Man United,H,1.73,1.93,14/05/17,2016
West Ham,Liverpool,A,5.25,1.81,14/05/17,2016
Chelsea,Watford,H,1.25,1.46,15/05/17,2016
Arsenal,Sunderland,H,1.09,1.25,16/05/17,2016
Man City,West Brom,H,1.14,1.32,16/05/17,2016
Southampton,Man United,D,2.75,2.06,17/05/17,2016
Leicester,Tottenham,A,4.5,1.73,18/05/17,2016
Arsenal,Everton,H,1.45,1.45,21/05/17,2016
Burnley,West Ham,A,2.45,1.81,21/05/17,2016
Chelsea,Sunderland,H,1.14,1.41,21/05/17,2016
Hull,Tottenham,A,7.0,1.6,21/05/17,2016
Leicester,Bournemouth,D,2.0,1.64,21/05/17,2016
Liverpool,Middlesbrough,H,1.14,1.44,21/05/17,2016
Man United,Crystal Palace,H,2.5,1.99,21/05/17,2016
Southampton,Stoke,A,1.8,1.8,21/05/17,2016
Swansea,West Brom,H,2.1,1.83,21/05/17,2016
Watford,Man City,A,11.0,1.42,21/05/17,2016
