HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Date,Season
Leicester,Aston Villa,H,1.91,1.91,13/09/2015,2015
Sunderland,Tottenham,A,4.33,1.95,13/09/2015,2015
West Ham,Newcastle,H,2.25,1.89,14/09/2015,2015
Aston Villa,West Brom,A,2.3,2.37,19/09/2015,2015
Bournemouth,Sunderland,H,1.7,1.87,19/09/2015,2015
Chelsea,Arsenal,H,2.45,1.78,19/09/2015,2015
Man City,West Ham,A,1.29,1.44,19/09/2015,2015
Newcastle,Watford,A,2.5,2.17,19/09/2015,2015
Stoke,Leicester,D,2.5,2.03,19/09/2015,2015
Swansea,Everton,D,2.3,2.03,19/09/2015,2015
Liverpool,Norwich,D,1.67,1.86,20/09/2015,2015
Southampton,Man United,A,3.1,2.28,20/09/2015,2015
Tottenham,Crystal Palace,H,2.0,1.91,20/09/2015,2015
Leicester,Arsenal,A,4.5,1.67,26/09/2015,2015
Liverpool,Aston Villa,H,1.53,1.95,26/09/2015,2015
Man United,Sunderland,H,1.2,1.56,26/09/2015,2015
Newcastle,Chelsea,D,6.0,1.81,26/09/2015,2015
Southampton,Swansea,H,2.05,2.16,26/09/2015,2015
Stoke,Bournemouth,H,2.55,2.02,26/09/2015,2015
Tottenham,Man City,H,4.2,1.72,26/09/2015,2015
West Ham,Norwich,D,2.25,1.9,26/09/2015,2015
Watford,Crystal Palace,A,2.5,2.13,27/09/2015,2015
West Brom,Everton,A,3.1,2.23,28/09/2015,2015
Aston Villa,Stoke,A,2.5,2.19,03/10/2015,2015
Bournemouth,Watford,D,2.1,2.0,03/10/2015,2015
Chelsea,Southampton,A,1.83,1.88,03/10/2015,2015
Crystal Palace,West Brom,H,1.83,2.14,03/10/2015,2015
Man City,Newcastle,H,1.25,1.41,03/10/2015,2015
Norwich,Leicester,A,2.3,1.74,03/10/2015,2015
Sunderland,West Ham,D,3.2,1.94,03/10/2015,2015
Arsenal,Man United,H,2.0,1.83,04/10/2015,2015
Everton,Liverpool,D,2.7,1.98,04/10/2015,2015
Swansea,Tottenham,D,2.75,1.98,04/10/2015,2015
Chelsea,Aston Villa,H,1.33,1.64,17/10/2015,2015
Crystal Palace,West Ham,A,2.0,1.9,17/10/2015,2015
Everton,Man United,A,3.25,2.02,17/10/2015,2015
Man City,Bournemouth,H,1.33,1.53,17/10/2015,2015
Southampton,Leicester,D,1.75,1.75,17/10/2015,2015
Tottenham,Liverpool,D,2.5,1.79,17/10/2015,2015
Watford,Arsenal,A,6.0,1.72,17/10/2015,2015
West Brom,Sunderland,H,2.05,2.27,17/10/2015,2015
Newcastle,Norwich,H,2.6,1.89,18/10/2015,2015
Swansea,Stoke,A,2.05,2.17,19/10/2015,2015
Arsenal,Everton,H,1.44,1.53,24/10/2015,2015
Aston Villa,Swansea,A,3.0,2.34,24/10/2015,2015
Leicester,Crystal Palace,H,2.2,1.74,24/10/2015,2015
Norwich,West Brom,A,2.0,2.11,24/10/2015,2015
Stoke,Watford,A,2.1,2.31,24/10/2015,2015
West Ham,Chelsea,H,4.0,1.72,24/10/2015,2015
Bournemouth,Tottenham,A,3.4,1.97,25/10/2015,2015
Liverpool,Southampton,D,2.05,1.95,25/10/2015,2015
Man United,Man City,D,2.6,1.82,25/10/2015,2015
Sunderland,Newcastle,H,2.6,1.95,25/10/2015,2015
Chelsea,Liverpool,A,2.1,2.04,31/10/2015,2015
Crystal Palace,Man United,D,3.8,2.15,31/10/2015,2015
Man City,Norwich,H,1.29,1.45,31/10/2015,2015
Newcastle,Stoke,D,2.4,2.04,31/10/2015,2015
Swansea,Arsenal,A,5.0,1.76,31/10/2015,2015
Watford,West Ham,H,2.6,2.01,31/10/2015,2015
West Brom,Leicester,A,2.9,2.04,31/10/2015,2015
Everton,Sunderland,H,1.5,1.73,01/11/2015,2015
Southampton,Bournemouth,H,1.55,1.76,01/11/2015,2015
Tottenham,Aston Villa,H,1.44,1.77,02/11/2015,2015
Bournemouth,Newcastle,A,2.25,1.83,07/11/2015,2015
Leicester,Watford,H,1.85,1.8,07/11/2015,2015
Man United,West Brom,H,1.33,1.93,07/11/2015,2015
Norwich,Swansea,H,2.45,1.96,07/11/2015,2015
Stoke,Chelsea,H,3.8,2.08,07/11/2015,2015
Sunderland,Southampton,A,4.75,1.97,07/11/2015,2015
West Ham,Everton,D,2.6,1.75,07/11/2015,2015
Arsenal,Tottenham,D,1.73,1.59,08/11/2015,2015
Aston Villa,Man City,D,7.5,1.69,08/11/2015,2015
Liverpool,Crystal Palace,A,1.67,1.92,08/11/2015,2015
Chelsea,Norwich,H,1.4,1.71,21/11/2015,2015
Everton,Aston Villa,H,1.57,1.91,21/11/2015,2015
Man City,Liverpool,A,1.7,1.73,21/11/2015,2015
Newcastle,Leicester,A,2.88,1.68,21/11/2015,2015
Southampton,Stoke,A,1.57,2.03,21/11/2015,2015
Swansea,Bournemouth,D,1.91,1.98,21/11/2015,2015
Watford,Man United,A,4.33,2.34,21/11/2015,2015
West Brom,Arsenal,H,7.0,1.79,21/11/2015,2015
Tottenham,West Ham,H,1.57,1.7,22/11/2015,2015
Crystal Palace,Sunderland,A,1.57,1.88,23/11/2015,2015
Aston Villa,Watford,A,2.75,2.34,28/11/2015,2015
Bournemouth,Everton,D,2.9,1.78,28/11/2015,2015
Crystal Palace,Newcastle,H,1.7,1.78,28/11/2015,2015
Leicester,Man United,D,3.1,2.02,28/11/2015,2015
Man City,Southampton,H,1.6,1.65,28/11/2015,2015
Sunderland,Stoke,H,3.2,2.26,28/11/2015,2015
Liverpool,Swansea,H,1.44,1.79,29/11/2015,2015
Norwich,Arsenal,D,6.0,1.63,29/11/2015,2015
Tottenham,Chelsea,D,2.6,1.88,29/11/2015,2015
West Ham,West Brom,D,2.05,2.16,29/11/2015,2015
Arsenal,Sunderland,H,1.29,1.6,05/12/2015,2015
Chelsea,Bournemouth,A,1.36,1.64,05/12/2015,2015
Man United,West Ham,D,1.44,1.97,05/12/2015,2015
Southampton,Aston Villa,D,1.5,1.93,05/12/2015,2015
Stoke,Man City,H,5.25,1.79,05/12/2015,2015
Swansea,Leicester,A,2.7,1.81,05/12/2015,2015
Watford,Norwich,H,2.15,1.99,05/12/2015,2015
West Brom,Tottenham,D,4.75,2.15,05/12/2015,2015
Newcastle,Liverpool,H,5.75,1.73,06/12/2015,2015
Everton,Crystal Palace,D,2.1,1.78,07/12/2015,2015
Bournemouth,Man United,H,3.4,2.14,12/12/2015,2015
Crystal Palace,Southampton,H,2.6,2.11,12/12/2015,2015
Man City,Swansea,H,1.3,1.53,12/12/2015,2015
Norwich,Everton,D,2.9,1.83,12/12/2015,2015
Sunderland,Watford,A,2.9,2.13,12/12/2015,2015
West Ham,Stoke,D,2.63,2.18,12/12/2015,2015
Aston Villa,Arsenal,A,6.5,1.87,13/12/2015,2015
Liverpool,West Brom,D,1.4,2.02,13/12/2015,2015
Tottenham,Newcastle,A,1.36,1.57,13/12/2015,2015
Leicester,Chelsea,H,3.2,1.9,14/12/2015,2015
Chelsea,Sunderland,H,1.33,1.76,19/12/2015,2015
Everton,Leicester,A,2.1,1.62,19/12/2015,2015
Man United,Norwich,A,1.45,1.9,19/12/2015,2015
Newcastle,Aston Villa,D,2.05,2.01,19/12/2015,2015
Southampton,Tottenham,A,2.7,2.0,19/12/2015,2015
Stoke,Crystal Palace,A,2.5,2.24,19/12/2015,2015
West Brom,Bournemouth,A,2.55,2.15,19/12/2015,2015
Swansea,West Ham,D,2.1,2.13,20/12/2015,2015
Watford,Liverpool,H,4.2,2.08,20/12/2015,2015
Arsenal,Man City,H,2.45,1.69,21/12/2015,2015
Aston Villa,West Ham,D,2.63,2.28,26/12/2015,2015
Bournemouth,Crystal Palace,D,2.4,1.95,26/12/2015,2015
Chelsea,Watford,D,1.44,1.76,26/12/2015,2015
Liverpool,Leicester,H,1.91,1.65,26/12/2015,2015
Man City,Sunderland,H,1.2,1.4,26/12/2015,2015
Newcastle,Everton,A,3.2,1.74,26/12/2015,2015
Southampton,Arsenal,H,3.6,1.93,26/12/2015,2015
Stoke,Man United,H,3.25,2.37,26/12/2015,2015
Swansea,West Brom,H,1.91,2.42,26/12/2015,2015
Tottenham,Norwich,H,1.4,1.68,26/12/2015,2015
Arsenal,Bournemouth,H,1.44,1.63,28/12/2015,2015
Crystal Palace,Swansea,D,2.1,2.23,28/12/2015,2015
Everton,Stoke,A,1.95,2.01,28/12/2015,2015
Man United,Chelsea,D,2.6,2.19,28/12/2015,2015
Norwich,Aston Villa,H,2.05,2.1,28/12/2015,2015
Watford,Tottenham,A,3.75,2.03,28/12/2015,2015
West Brom,Newcastle,H,2.2,2.2,28/12/2015,2015
West Ham,Southampton,H,3.6,2.18,28/12/2015,2015
Leicester,Man City,D,4.33,1.55,29/12/2015,2015
Sunderland,Liverpool,A,5.5,1.99,30/12/2015,2015
Arsenal,Newcastle,H,1.29,1.49,02/01/2016,2015
Leicester,Bournemouth,D,1.91,1.77,02/01/2016,2015
Man United,Swansea,H,1.55,2.2,02/01/2016,2015
Norwich,Southampton,H,3.2,1.96,02/01/2016,2015
Sunderland,Aston Villa,H,2.5,2.29,02/01/2016,2015
Watford,Man City,A,5.0,1.69,02/01/2016,2015
West Brom,Stoke,H,2.8,2.45,02/01/2016,2015
West Ham,Liverpool,H,4.0,2.06,02/01/2016,2015
Crystal Palace,Chelsea,A,3.8,2.21,03/01/2016,2015
Everton,Tottenham,D,2.8,1.73,03/01/2016,2015
Aston Villa,Crystal Palace,H,3.2,2.33,12/01/2016,2015
Bournemouth,West Ham,A,2.0,2.02,12/01/2016,2015
Newcastle,Man United,D,5.0,2.12,12/01/2016,2015
Chelsea,West Brom,D,1.44,1.99,13/01/2016,2015
Liverpool,Arsenal,D,2.88,1.87,13/01/2016,2015
Man City,Everton,D,1.53,1.48,13/01/2016,2015
Southampton,Watford,H,1.95,2.07,13/01/2016,2015
Stoke,Norwich,H,2.05,2.18,13/01/2016,2015
Swansea,Sunderland,A,1.8,2.14,13/01/2016,2015
Tottenham,Leicester,A,1.75,1.82,13/01/2016,2015
Aston Villa,Leicester,D,3.6,2.2,16/01/2016,2015
Bournemouth,Norwich,H,1.91,2.07,16/01/2016,2015
Chelsea,Everton,D,1.83,1.78,16/01/2016,2015
Man City,Crystal Palace,H,1.4,1.61,16/01/2016,2015
Newcastle,West Ham,H,2.5,1.95,16/01/2016,2015
Southampton,West Brom,H,1.73,2.27,16/01/2016,2015
Tottenham,Sunderland,H,1.36,1.66,16/01/2016,2015
Liverpool,Man United,A,2.3,2.24,17/01/2016,2015
Stoke,Arsenal,D,4.33,2.0,17/01/2016,2015
Swansea,Watford,H,2.38,2.39,18/01/2016,2015
Crystal Palace,Tottenham,A,3.6,2.17,23/01/2016,2015
Leicester,Stoke,H,2.1,2.16,23/01/2016,2015
Man United,Southampton,A,1.91,2.36,23/01/2016,2015
Norwich,Liverpool,A,4.33,2.12,23/01/2016,2015
Sunderland,Bournemouth,D,3.0,2.12,23/01/2016,2015
Watford,Newcastle,H,2.05,2.07,23/01/2016,2015
West Brom,Aston Villa,D,2.1,2.53,23/01/2016,2015
West Ham,Man City,D,5.0,1.71,23/01/2016,2015
Arsenal,Chelsea,A,2.1,1.94,24/01/2016,2015
Everton,Swansea,A,1.73,1.95,24/01/2016,2015
Arsenal,Southampton,D,1.75,2.07,02/02/2016,2015
Crystal Palace,Bournemouth,A,2.45,2.24,02/02/2016,2015
Leicester,Liverpool,H,2.63,2.06,02/02/2016,2015
Man United,Stoke,H,1.7,2.25,02/02/2016,2015
Norwich,Tottenham,A,4.5,1.89,02/02/2016,2015
Sunderland,Man City,A,8.0,1.66,02/02/2016,2015
West Brom,Swansea,D,2.63,2.71,02/02/2016,2015
West Ham,Aston Villa,H,1.91,2.16,02/02/2016,2015
Everton,Newcastle,H,1.65,1.63,03/02/2016,2015
Watford,Chelsea,D,4.33,2.23,03/02/2016,2015
Aston Villa,Norwich,H,2.45,2.27,06/02/2016,2015
Liverpool,Sunderland,D,1.44,1.76,06/02/2016,2015
Man City,Leicester,A,1.62,1.7,06/02/2016,2015
Newcastle,West Brom,H,2.15,2.25,06/02/2016,2015
Southampton,West Ham,H,1.73,2.12,06/02/2016,2015
Stoke,Everton,A,2.7,1.98,06/02/2016,2015
Swansea,Crystal Palace,D,2.25,2.36,06/02/2016,2015
Tottenham,Watford,H,1.5,1.87,06/02/2016,2015
Bournemouth,Arsenal,A,3.8,2.02,07/02/2016,2015
Chelsea,Man United,D,2.15,2.34,07/02/2016,2015
Bournemouth,Stoke,A,2.05,2.14,13/02/2016,2015
Chelsea,Newcastle,H,1.44,1.65,13/02/2016,2015
Crystal Palace,Watford,A,2.25,2.34,13/02/2016,2015
Everton,West Brom,A,1.53,1.92,13/02/2016,2015
Norwich,West Ham,D,2.38,1.99,13/02/2016,2015
Sunderland,Man United,H,5.25,2.15,13/02/2016,2015
Swansea,Southampton,A,3.2,2.4,13/02/2016,2015
Arsenal,Leicester,H,1.75,1.76,14/02/2016,2015
Aston Villa,Liverpool,A,4.75,2.23,14/02/2016,2015
Man City,Tottenham,A,2.1,1.72,14/02/2016,2015
Leicester,Norwich,H,1.5,1.74,27/02/2016,2015
Southampton,Chelsea,A,2.8,2.16,27/02/2016,2015
Stoke,Aston Villa,H,1.62,2.27,27/02/2016,2015
Watford,Bournemouth,D,2.38,2.16,27/02/2016,2015
West Brom,Crystal Palace,H,2.6,2.45,27/02/2016,2015
West Ham,Sunderland,H,1.8,1.93,27/02/2016,2015
Tottenham,Swansea,H,1.4,1.96,28/02/2016,2015
Man United,Arsenal,H,3.0,2.27,28/02/2016,2015
Aston Villa,Everton,A,4.5,2.0,01/03/2016,2015
Bournemouth,Southampton,H,2.9,2.29,01/03/2016,2015
Leicester,West Brom,D,1.73,2.13,01/03/2016,2015
Norwich,Chelsea,A,5.25,1.83,01/03/2016,2015
Sunderland,Crystal Palace,D,2.5,2.18,01/03/2016,2015
Arsenal,Swansea,A,1.36,1.76,02/03/2016,2015
Liverpool,Man City,H,2.63,1.93,02/03/2016,2015
Man United,Watford,H,1.67,2.12,02/03/2016,2015
Stoke,Newcastle,H,2.0,2.05,02/03/2016,2015
West Ham,Tottenham,H,4.0,1.97,02/03/2016,2015
Chelsea,Stoke,D,1.5,1.82,05/03/2016,2015
Everton,West Ham,A,1.73,1.72,05/03/2016,2015
Man City,Aston Villa,H,1.22,1.53,05/03/2016,2015
Newcastle,Bournemouth,A,2.63,1.93,05/03/2016,2015
Southampton,Sunderland,D,1.6,1.97,05/03/2016,2015
Swansea,Norwich,H,2.05,2.11,05/03/2016,2015
Tottenham,Arsenal,D,2.38,1.8,05/03/2016,2015
Watford,Leicester,A,3.0,2.11,05/03/2016,2015
Crystal Palace,Liverpool,A,3.8,2.07,06/03/2016,2015
West Brom,Man United,H,4.33,2.29,06/03/2016,2015
Bournemouth,Swansea,H,1.95,2.25,12/03/2016,2015
Norwich,Man City,D,6.0,1.79,12/03/2016,2015
Stoke,Southampton,A,2.7,2.37,12/03/2016,2015
Aston Villa,Tottenham,A,7.5,1.9,13/03/2016,2015
Leicester,Newcastle,H,1.57,1.74,14/03/2016,2015
Chelsea,West Ham,D,1.75,1.83,19/03/2016,2015
Crystal Palace,Leicester,A,3.0,2.14,19/03/2016,2015
Everton,Arsenal,A,2.7,1.7,19/03/2016,2015
Swansea,Aston Villa,H,1.67,2.15,19/03/2016,2015
Watford,Stoke,A,2.4,2.37,19/03/2016,2015
West Brom,Norwich,A,2.25,2.35,19/03/2016,2015
Man City,Man United,A,1.83,1.93,20/03/2016,2015
Newcastle,Sunderland,D,2.1,2.01,20/03/2016,2015
Southampton,Liverpool,H,2.63,2.22,20/03/2016,2015
Tottenham,Bournemouth,H,1.53,1.73,20/03/2016,2015
Arsenal,Watford,H,1.36,1.69,02/04/2016,2015
Aston Villa,Chelsea,A,6.5,1.98,02/04/2016,2015
Bournemouth,Man City,A,3.75,1.81,02/04/2016,2015
Liverpool,Tottenham,D,2.5,1.93,02/04/2016,2015
Norwich,Newcastle,H,2.2,2.13,02/04/2016,2015
Stoke,Swansea,D,2.2,2.29,02/04/2016,2015
Sunderland,West Brom,D,2.1,2.39,02/04/2016,2015
West Ham,Crystal Palace,D,1.95,1.96,02/04/2016,2015
Leicester,Southampton,H,2.25,2.24,03/04/2016,2015
Man United,Everton,H,2.1,2.05,03/04/2016,2015
Aston Villa,Bournemouth,A,3.4,2.12,09/04/2016,2015
Crystal Palace,Norwich,H,2.05,2.14,09/04/2016,2015
Man City,West Brom,H,1.33,1.71,09/04/2016,2015
Southampton,Newcastle,H,1.53,1.95,09/04/2016,2015
Swansea,Chelsea,H,3.75,2.11,09/04/2016,2015
Watford,Everton,D,3.4,2.08,09/04/2016,2015
West Ham,Arsenal,D,3.6,1.74,09/04/2016,2015
Liverpool,Stoke,H,1.55,1.89,10/04/2016,2015
Sunderland,Leicester,A,3.4,2.11,10/04/2016,2015
Tottenham,Man United,H,1.91,2.1,10/04/2016,2015
Crystal Palace,Everton,D,2.9,1.97,13/04/2016,2015
Chelsea,Man City,A,2.75,1.84,16/04/2016,2015
Everton,Southampton,D,2.7,1.98,16/04/2016,2015
Man United,Aston Villa,H,1.22,1.75,16/04/2016,2015
Newcastle,Swansea,H,2.3,2.06,16/04/2016,2015
Norwich,Sunderland,A,2.4,2.13,16/04/2016,2015
West Brom,Watford,A,2.4,2.46,16/04/2016,2015
Arsenal,Crystal Palace,D,1.33,1.6,17/04/2016,2015
Bournemouth,Liverpool,A,3.6,1.96,17/04/2016,2015
Leicester,West Ham,D,1.95,1.91,17/04/2016,2015
Stoke,Tottenham,A,4.5,1.96,18/04/2016,2015
Newcastle,Man City,D,6.0,1.66,19/04/2016,2015
Liverpool,Everton,H,1.73,1.72,20/04/2016,2015
Man United,Crystal Palace,H,1.53,1.97,20/04/2016,2015
West Ham,Watford,H,1.57,1.81,20/04/2016,2015
Arsenal,West Brom,H,1.29,1.62,21/04/2016,2015
Aston Villa,Southampton,A,7.5,2.03,23/04/2016,2015
Bournemouth,Chelsea,A,3.1,1.77,23/04/2016,2015
Liverpool,Newcastle,D,1.57,1.6,23/04/2016,2015
Man City,Stoke,H,1.3,1.62,23/04/2016,2015
Leicester,Swansea,H,1.75,2.16,24/04/2016,2015
Sunderland,Arsenal,D,4.5,1.73,24/04/2016,2015
Tottenham,West Brom,D,1.22,1.67,25/04/2016,2015
Arsenal,Norwich,H,1.29,1.51,30/04/2016,2015
Everton,Bournemouth,H,2.0,1.62,30/04/2016,2015
Newcastle,Crystal Palace,H,2.0,2.01,30/04/2016,2015
Stoke,Sunderland,D,2.75,2.07,30/04/2016,2015
Watford,Aston Villa,H,1.7,2.0,30/04/2016,2015
West Brom,West Ham,A,4.0,2.13,30/04/2016,2015
Man United,Leicester,D,2.1,2.18,01/05/2016,2015
Southampton,Man City,H,2.8,1.87,01/05/2016,2015
Swansea,Liverpool,H,3.1,1.91,01/05/2016,2015
Chelsea,Tottenham,D,2.75,1.78,02/05/2016,2015
Aston Villa,Newcastle,D,5.75,1.86,07/05/2016,2015
Bournemouth,West Brom,D,1.95,1.92,07/05/2016,2015
Crystal Palace,Stoke,H,2.05,2.07,07/05/2016,2015
Leicester,Everton,H,1.91,1.62,07/05/2016,2015
Norwich,Man United,A,4.5,1.99,07/05/2016,2015
Sunderland,Chelsea,H,3.0,1.79,07/05/2016,2015
West Ham,Swansea,A,1.44,1.64,07/05/2016,2015
Liverpool,Watford,H,1.5,1.61,08/05/2016,2015
Man City,Arsenal,D,2.5,1.7,08/05/2016,2015
Tottenham,Southampton,A,2.05,1.77,08/05/2016,2015
West Ham,Man United,H,3.0,1.86,10/05/2016,2015
Liverpool,Chelsea,D,2.0,1.64,11/05/2016,2015
Norwich,Watford,H,1.83,1.89,11/05/2016,2015
Sunderland,Everton,H,1.75,1.71,11/05/2016,2015
Arsenal,Aston Villa,H,1.17,1.35,15/05/2016,2015
Chelsea,Leicester,D,2.3,1.63,15/05/2016,2015
Everton,Norwich,H,1.8,1.58,15/05/2016,2015
Newcastle,Tottenham,H,4.5,1.65,15/05/2016,2015
Southampton,Crystal Palace,H,1.36,1.62,15/05/2016,2015
Stoke,West Ham,H,3.5,1.6,15/05/2016,2015
Swansea,Man City,D,6.0,1.53,15/05/2016,2015
Watford,Sunderland,D,2.05,1.71,15/05/2016,2015
West Brom,Liverpool,D,2.4,1.72,15/05/2016,2015
Man United,Bournemouth,H,1.67,1.66,17/05/2016,2015
