HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Date,Season
Leicester,Norwich,D,1.22,1.43,14/12/2019,2019
Sheffield United,Aston Villa,H,1.85,1.81,14/12/2019,2019
Southampton,West Ham,A,1.9,1.61,14/12/2019,2019
Man United,Everton,D,1.8,1.8,15/12/2019,2019
Wolves,Tottenham,A,3.25,1.9,15/12/2019,2019
Arsenal,Man City,A,6.0,1.32,15/12/2019,2019
Crystal Palace,Brighton,D,2.55,2.18,16/12/2019,2019
Everton,Arsenal,D,2.3,1.57,21/12/2019,2019
Aston Villa,Southampton,A,2.4,1.62,21/12/2019,2019
Bournemouth,Burnley,A,2.4,1.92,21/12/2019,2019
Brighton,Sheffield United,A,2.2,2.11,21/12/2019,2019
Newcastle,Crystal Palace,H,2.37,2.44,21/12/2019,2019
Norwich,Wolves,A,3.75,1.79,21/12/2019,2019
Man City,Leicester,H,1.36,1.42,21/12/2019,2019
Watford,Man United,H,4.33,1.85,22/12/2019,2019
Tottenham,Chelsea,A,2.37,1.59,22/12/2019,2019
Tottenham,Brighton,H,1.53,1.6,26/12/2019,2019
Aston Villa,Norwich,H,2.1,1.52,26/12/2019,2019
Bournemouth,Arsenal,D,3.5,1.55,26/12/2019,2019
Chelsea,Southampton,A,1.33,1.49,26/12/2019,2019
Crystal Palace,West Ham,H,2.3,1.9,26/12/2019,2019
Everton,Burnley,H,1.7,1.93,26/12/2019,2019
Sheffield United,Watford,D,1.83,2.11,26/12/2019,2019
Man United,Newcastle,H,1.33,1.72,26/12/2019,2019
Leicester,Liverpool,A,3.4,1.64,26/12/2019,2019
Wolves,Man City,H,8.5,1.56,27/12/2019,2019
Brighton,Bournemouth,H,1.75,1.92,28/12/2019,2019
Newcastle,Everton,A,3.6,2.06,28/12/2019,2019
Southampton,Crystal Palace,D,1.95,2.04,28/12/2019,2019
Watford,Aston Villa,H,1.95,1.7,28/12/2019,2019
Norwich,Tottenham,D,5.0,1.6,28/12/2019,2019
West Ham,Leicester,A,4.0,1.61,28/12/2019,2019
Burnley,Man United,A,4.33,1.95,28/12/2019,2019
Arsenal,Chelsea,A,2.87,1.53,29/12/2019,2019
Liverpool,Wolves,H,1.25,1.55,29/12/2019,2019
Man City,Sheffield United,H,1.16,1.38,29/12/2019,2019
Brighton,Chelsea,D,3.6,1.7,01/01/2020,2019
Burnley,Aston Villa,A,1.75,1.87,01/01/2020,2019
Newcastle,Leicester,A,5.0,1.94,01/01/2020,2019
Southampton,Tottenham,H,3.3,1.66,01/01/2020,2019
Watford,Wolves,H,3.0,2.0,01/01/2020,2019
Man City,Everton,H,1.25,1.37,01/01/2020,2019
Norwich,Crystal Palace,D,2.5,1.88,01/01/2020,2019
West Ham,Bournemouth,H,1.9,1.67,01/01/2020,2019
Arsenal,Man United,H,2.55,1.64,01/01/2020,2019
Liverpool,Sheffield United,H,1.2,1.54,02/01/2020,2019
Sheffield United,West Ham,H,1.95,2.03,10/01/2020,2019
Crystal Palace,Arsenal,D,4.1,1.8,11/01/2020,2019
Chelsea,Burnley,H,1.28,1.66,11/01/2020,2019
Everton,Brighton,H,1.85,1.83,11/01/2020,2019
Leicester,Southampton,A,1.6,1.64,11/01/2020,2019
Man United,Norwich,H,1.33,1.58,11/01/2020,2019
Wolves,Newcastle,D,1.44,2.01,11/01/2020,2019
Tottenham,Liverpool,A,4.5,1.62,11/01/2020,2019
Bournemouth,Watford,A,2.6,1.89,12/01/2020,2019
Aston Villa,Man City,A,13.0,1.27,12/01/2020,2019
Watford,Tottenham,D,3.25,1.81,18/01/2020,2019
Arsenal,Sheffield United,D,1.83,1.99,18/01/2020,2019
Brighton,Aston Villa,D,1.66,1.65,18/01/2020,2019
Man City,Crystal Palace,D,1.1,1.29,18/01/2020,2019
Norwich,Bournemouth,H,2.2,1.79,18/01/2020,2019
Southampton,Wolves,A,2.4,2.02,18/01/2020,2019
West Ham,Everton,D,2.9,1.84,18/01/2020,2019
Newcastle,Chelsea,H,6.0,1.68,18/01/2020,2019
Burnley,Leicester,H,4.33,1.85,19/01/2020,2019
Liverpool,Man United,H,1.36,1.66,19/01/2020,2019
Aston Villa,Watford,H,2.8,1.89,21/01/2020,2019
Bournemouth,Brighton,H,2.87,1.98,21/01/2020,2019
Crystal Palace,Southampton,A,2.7,2.21,21/01/2020,2019
Everton,Newcastle,D,1.55,1.95,21/01/2020,2019
Sheffield United,Man City,A,7.0,1.6,21/01/2020,2019
Chelsea,Arsenal,D,1.72,1.68,21/01/2020,2019
Leicester,West Ham,H,1.53,1.62,22/01/2020,2019
Tottenham,Norwich,H,1.4,1.54,22/01/2020,2019
Man United,Burnley,A,1.36,1.81,22/01/2020,2019
Wolves,Liverpool,A,5.75,1.8,23/01/2020,2019
West Ham,Liverpool,A,8.5,1.56,29/01/2020,2019
Leicester,Chelsea,D,2.5,1.69,01/02/2020,2019
Bournemouth,Aston Villa,H,2.1,1.78,01/02/2020,2019
Crystal Palace,Sheffield United,A,3.1,2.63,01/02/2020,2019
Liverpool,Southampton,H,1.25,1.53,01/02/2020,2019
Newcastle,Norwich,D,2.2,1.99,01/02/2020,2019
Watford,Everton,A,2.75,2.01,01/02/2020,2019
West Ham,Brighton,D,2.6,1.92,01/02/2020,2019
Man United,Wolves,D,2.25,2.18,01/02/2020,2019
Burnley,Arsenal,D,3.6,1.9,02/02/2020,2019
Tottenham,Man City,H,5.5,1.49,02/02/2020,2019
Everton,Crystal Palace,H,1.61,2.09,08/02/2020,2019
Brighton,Watford,D,2.1,1.97,08/02/2020,2019
Sheffield United,Bournemouth,H,1.66,2.28,09/02/2020,2019
Wolves,Leicester,D,2.5,2.03,14/02/2020,2019
Southampton,Burnley,A,1.75,1.96,15/02/2020,2019
Norwich,Liverpool,A,11.0,1.51,15/02/2020,2019
Aston Villa,Tottenham,A,4.0,1.69,16/02/2020,2019
Arsenal,Newcastle,H,1.4,1.72,16/02/2020,2019
Chelsea,Man United,A,1.85,1.89,17/02/2020,2019
Man City,West Ham,H,1.12,1.23,19/02/2020,2019
Chelsea,Tottenham,H,1.72,1.81,22/02/2020,2019
Burnley,Bournemouth,H,2.1,2.23,22/02/2020,2019
Crystal Palace,Newcastle,H,1.95,2.51,22/02/2020,2019
Sheffield United,Brighton,D,1.95,2.23,22/02/2020,2019
Southampton,Aston Villa,H,1.61,1.59,22/02/2020,2019
Leicester,Man City,A,4.5,1.54,22/02/2020,2019
Man United,Watford,H,1.6,1.91,23/02/2020,2019
Wolves,Norwich,H,1.5,1.87,23/02/2020,2019
Arsenal,Everton,H,2.0,1.73,23/02/2020,2019
Liverpool,West Ham,H,1.16,1.38,24/02/2020,2019
Norwich,Leicester,H,4.33,1.72,28/02/2020,2019
Brighton,Crystal Palace,A,2.05,2.31,29/02/2020,2019
Bournemouth,Chelsea,D,4.75,1.8,29/02/2020,2019
Newcastle,Burnley,D,2.62,2.34,29/02/2020,2019
West Ham,Southampton,H,2.65,1.75,29/02/2020,2019
Watford,Liverpool,H,8.0,1.64,29/02/2020,2019
Everton,Man United,D,2.5,1.98,01/03/2020,2019
Tottenham,Wolves,A,2.45,2.22,01/03/2020,2019
Liverpool,Bournemouth,H,1.22,1.47,07/03/2020,2019
Arsenal,West Ham,H,1.57,1.6,07/03/2020,2019
Crystal Palace,Watford,H,2.55,2.28,07/03/2020,2019
Sheffield United,Norwich,H,1.65,2.06,07/03/2020,2019
Southampton,Newcastle,A,1.61,1.81,07/03/2020,2019
Wolves,Brighton,D,1.61,1.99,07/03/2020,2019
Burnley,Tottenham,D,2.7,2.06,07/03/2020,2019
Chelsea,Everton,H,1.8,1.71,08/03/2020,2019
Man United,Man City,H,5.0,1.66,08/03/2020,2019
Leicester,Aston Villa,H,1.36,1.52,09/03/2020,2019
Aston Villa,Sheffield United,D,3.2,2.08,17/06/2020,2019
Man City,Arsenal,H,1.36,1.38,17/06/2020,2019
Norwich,Southampton,A,2.8,1.92,19/06/2020,2019
Tottenham,Man United,D,3.0,1.94,19/06/2020,2019
Watford,Leicester,D,3.6,1.91,20/06/2020,2019
Brighton,Arsenal,H,3.1,1.93,20/06/2020,2019
West Ham,Wolves,A,3.6,2.06,20/06/2020,2019
Bournemouth,Crystal Palace,A,2.45,2.12,20/06/2020,2019
Newcastle,Sheffield United,H,3.3,2.46,21/06/2020,2019
Aston Villa,Chelsea,A,6.0,1.59,21/06/2020,2019
Everton,Liverpool,D,6.0,1.66,21/06/2020,2019
Man City,Burnley,H,1.12,1.32,22/06/2020,2019
Leicester,Brighton,D,1.6,1.95,23/06/2020,2019
Tottenham,West Ham,H,1.66,1.79,23/06/2020,2019
Man United,Sheffield United,H,1.4,2.0,24/06/2020,2019
Newcastle,Aston Villa,D,2.3,2.09,24/06/2020,2019
Norwich,Everton,A,3.9,1.82,24/06/2020,2019
Wolves,Bournemouth,H,1.55,2.07,24/06/2020,2019
Liverpool,Crystal Palace,H,1.22,1.69,24/06/2020,2019
Burnley,Watford,H,3.0,2.18,25/06/2020,2019
Southampton,Arsenal,A,2.6,1.8,25/06/2020,2019
Chelsea,Man City,H,4.0,1.63,25/06/2020,2019
Aston Villa,Wolves,A,4.6,2.08,27/06/2020,2019
Watford,Southampton,A,2.5,2.0,28/06/2020,2019
Crystal Palace,Burnley,A,2.25,2.42,29/06/2020,2019
Brighton,Man United,A,6.0,2.1,30/06/2020,2019
Arsenal,Norwich,H,1.44,1.7,01/07/2020,2019
Bournemouth,Newcastle,A,2.4,2.38,01/07/2020,2019
Everton,Leicester,H,2.5,2.08,01/07/2020,2019
West Ham,Chelsea,H,5.5,1.72,01/07/2020,2019
Sheffield United,Tottenham,H,4.2,2.15,02/07/2020,2019
Man City,Liverpool,H,2.05,1.57,02/07/2020,2019
Norwich,Brighton,A,3.3,2.08,04/07/2020,2019
Leicester,Crystal Palace,H,1.66,2.21,04/07/2020,2019
Man United,Bournemouth,H,1.16,1.53,04/07/2020,2019
Wolves,Arsenal,A,2.25,2.1,04/07/2020,2019
Chelsea,Watford,H,1.4,1.73,04/07/2020,2019
Burnley,Sheffield United,D,2.9,2.65,05/07/2020,2019
Newcastle,West Ham,D,2.6,2.0,05/07/2020,2019
Liverpool,Aston Villa,H,1.33,1.49,05/07/2020,2019
Southampton,Man City,H,8.5,1.54,05/07/2020,2019
Tottenham,Everton,H,2.1,1.86,06/07/2020,2019
Crystal Palace,Chelsea,A,8.5,1.83,07/07/2020,2019
Watford,Norwich,H,1.7,2.05,07/07/2020,2019
Arsenal,Leicester,D,2.3,1.88,07/07/2020,2019
Man City,Newcastle,H,1.12,1.39,08/07/2020,2019
Sheffield United,Wolves,H,3.8,2.69,08/07/2020,2019
West Ham,Burnley,A,2.0,2.06,08/07/2020,2019
Brighton,Liverpool,A,6.0,1.73,08/07/2020,2019
Bournemouth,Tottenham,D,5.25,1.73,09/07/2020,2019
Everton,Southampton,D,2.05,1.92,09/07/2020,2019
Aston Villa,Man United,A,9.0,1.65,09/07/2020,2019
Norwich,West Ham,A,3.75,1.83,11/07/2020,2019
Watford,Newcastle,H,1.8,2.06,11/07/2020,2019
Liverpool,Burnley,D,1.22,1.52,11/07/2020,2019
Sheffield United,Chelsea,H,6.0,1.98,11/07/2020,2019
Brighton,Man City,A,10.0,1.52,11/07/2020,2019
Wolves,Everton,H,2.05,2.49,12/07/2020,2019
Aston Villa,Crystal Palace,H,2.25,2.01,12/07/2020,2019
Tottenham,Arsenal,H,2.62,1.77,12/07/2020,2019
Bournemouth,Leicester,H,5.25,1.89,12/07/2020,2019
Man United,Southampton,D,1.3,1.61,13/07/2020,2019
Chelsea,Norwich,H,1.12,1.36,14/07/2020,2019
Burnley,Wolves,D,4.5,2.52,15/07/2020,2019
Man City,Bournemouth,H,1.14,1.29,15/07/2020,2019
Newcastle,Tottenham,A,4.6,1.87,15/07/2020,2019
Arsenal,Liverpool,H,3.8,1.58,15/07/2020,2019
Everton,Aston Villa,D,2.0,1.87,16/07/2020,2019
Leicester,Sheffield United,H,2.05,2.14,16/07/2020,2019
Crystal Palace,Man United,A,9.5,1.77,16/07/2020,2019
Southampton,Brighton,D,2.15,2.13,16/07/2020,2019
West Ham,Watford,H,2.4,2.03,17/07/2020,2019
Norwich,Burnley,A,3.2,2.05,18/07/2020,2019
Bournemouth,Southampton,A,2.4,1.71,19/07/2020,2019
Tottenham,Leicester,H,2.25,1.95,19/07/2020,2019
Brighton,Newcastle,D,1.9,2.12,20/07/2020,2019
Sheffield United,Everton,A,2.2,2.32,20/07/2020,2019
Wolves,Crystal Palace,H,1.5,2.29,20/07/2020,2019
Watford,Man City,A,8.5,1.48,21/07/2020,2019
Aston Villa,Arsenal,H,3.3,1.66,21/07/2020,2019
Man United,West Ham,D,1.22,1.47,22/07/2020,2019
Liverpool,Chelsea,H,2.0,1.6,22/07/2020,2019
Arsenal,Watford,H,1.9,1.61,26/07/2020,2019
Burnley,Brighton,A,2.37,1.91,26/07/2020,2019
Chelsea,Wolves,H,1.85,1.9,26/07/2020,2019
Crystal Palace,Tottenham,D,6.0,1.76,26/07/2020,2019
Everton,Bournemouth,A,2.25,1.58,26/07/2020,2019
Leicester,Man United,A,3.25,1.85,26/07/2020,2019
Man City,Norwich,H,1.08,1.21,26/07/2020,2019
Newcastle,Liverpool,A,7.5,1.54,26/07/2020,2019
Southampton,Sheffield United,H,2.15,1.87,26/07/2020,2019
West Ham,Aston Villa,D,3.0,1.66,26/07/2020,2019
